Divipola,Homicidios Concejales 2011
05001,1
05002,0
05004,0
05021,0
05030,0
05031,0
05034,0
05036,0
05038,0
05040,0
05042,0
05044,0
05045,0
05051,0
05055,0
05059,0
05079,0
05086,0
05088,0
05091,0
05093,0
05101,0
05107,0
05113,0
05120,0
05125,0
05129,0
05134,0
05138,0
05142,0
05145,0
05147,0
05148,0
05150,0
05154,0
05172,0
05190,0
05197,0
05206,0
05209,0
05212,0
05234,0
05237,0
05240,0
05250,0
05264,0
05266,0
05282,0
05284,0
05306,0
05308,0
05310,0
05313,0
05315,0
05318,0
05321,0
05347,0
05353,0
05360,0
05361,0
05364,0
05368,0
05376,0
05380,0
05390,0
05400,0
05411,0
05425,0
05440,0
05467,0
05475,0
05480,0
05483,0
05490,0
05495,0
05501,0
05541,0
05543,0
05576,0
05579,0
05585,0
05591,0
05604,0
05607,0
05615,0
05628,0
05631,0
05642,0
05647,0
05649,0
05652,0
05656,0
05658,0
05659,0
05660,0
05664,0
05665,0
05667,0
05670,0
05674,0
05679,0
05686,0
05690,0
05697,0
05736,0
05756,0
05761,0
05789,0
05790,0
05792,0
05809,0
05819,0
05837,0
05842,0
05847,0
05854,0
05856,0
05858,0
05861,0
05873,0
05885,0
05887,0
05890,0
05893,0
05895,0
08001,0
08078,0
08137,0
08141,0
08296,0
08372,0
08421,0
08433,0
08436,0
08520,0
08549,0
08558,0
08560,0
08573,0
08606,0
08634,0
08638,0
08675,0
08685,0
08758,0
08770,0
08832,0
08849,0
11001,0
13001,0
13006,0
13030,0
13042,0
13052,0
13062,0
13074,0
13140,0
13160,0
13188,0
13212,0
13222,0
13244,0
13248,0
13268,0
13300,0
13430,0
13433,0
13440,0
13442,0
13458,0
13468,0
13473,0
13490,0
13549,0
13580,0
13600,0
13620,0
13647,0
13650,0
13654,0
13655,0
13657,0
13667,0
13670,0
13673,0
13683,0
13688,0
13744,0
13760,0
13780,0
13810,0
13836,0
13838,0
13873,0
13894,0
15001,0
15022,0
15047,0
15051,0
15087,0
15090,0
15092,0
15097,0
15104,0
15106,0
15109,0
15114,0
15131,0
15135,0
15162,0
15172,0
15176,1
15180,0
15183,0
15185,0
15187,0
15189,0
15204,0
15212,0
15215,0
15218,0
15223,0
15224,0
15226,0
15232,0
15236,0
15238,0
15244,1
15248,0
15272,0
15276,0
15293,0
15296,0
15299,0
15317,0
15322,0
15325,0
15332,0
15362,0
15367,0
15368,0
15377,0
15380,0
15401,0
15403,0
15407,0
15425,0
15442,0
15455,0
15464,0
15466,0
15469,0
15476,0
15480,0
15491,0
15494,0
15500,0
15507,0
15511,0
15514,0
15516,0
15518,0
15522,0
15531,0
15533,0
15537,0
15542,0
15550,0
15572,0
15580,0
15599,0
15600,0
15621,0
15632,0
15638,0
15646,0
15660,0
15664,0
15667,0
15673,0
15676,0
15681,0
15686,0
15690,0
15693,0
15696,0
15720,0
15723,0
15740,0
15753,0
15755,0
15757,0
15759,0
15761,0
15762,0
15763,0
15764,0
15774,0
15776,0
15778,0
15790,0
15798,0
15804,0
15806,0
15808,0
15810,0
15814,0
15816,0
15820,0
15822,0
15832,0
15835,0
15837,0
15839,0
15842,0
15861,0
15879,0
15897,0
17001,0
17013,0
17042,0
17050,0
17088,0
17174,0
17272,0
17380,0
17388,0
17433,0
17442,0
17444,0
17446,0
17486,0
17495,0
17513,0
17524,0
17541,0
17614,0
17616,0
17653,0
17662,0
17665,0
17777,0
17867,0
17873,0
17877,0
18001,0
18029,0
18094,0
18150,0
18205,0
18247,0
18256,0
18410,0
18460,0
18479,0
18592,0
18610,0
18753,0
18756,0
18785,0
18860,0
19001,0
19022,0
19050,0
19075,0
19100,0
19110,0
19130,0
19137,0
19142,0
19212,0
19256,0
19290,0
19300,0
19318,0
19355,0
19364,0
19392,0
19397,0
19418,0
19450,0
19455,0
19473,0
19513,0
19517,0
19532,0
19533,0
19548,0
19573,0
19585,0
19622,0
19693,0
19698,0
19701,0
19743,0
19760,0
19780,0
19785,0
19807,0
19809,0
19821,0
19824,0
19845,0
20001,0
20011,0
20013,0
20032,0
20045,0
20060,0
20175,0
20178,0
20228,0
20238,0
20250,0
20295,0
20310,0
20383,0
20400,0
20443,0
20517,0
20550,0
20570,0
20614,0
20621,0
20710,0
20750,0
20770,0
20787,0
23001,0
23068,0
23079,0
23090,0
23162,0
23168,0
23182,0
23189,0
23300,0
23350,0
23417,0
23419,0
23464,0
23466,0
23500,0
23555,0
23570,0
23574,0
23580,0
23586,0
23660,0
23670,0
23672,1
23675,0
23678,0
23682,0
23686,0
23807,0
23815,0
23855,0
25001,0
25019,0
25035,0
25040,0
25053,0
25086,0
25095,0
25099,0
25120,0
25123,0
25126,0
25148,0
25151,0
25154,0
25168,0
25175,0
25178,0
25181,0
25183,0
25200,0
25214,0
25224,0
25245,0
25258,0
25260,0
25269,0
25279,0
25281,0
25286,0
25288,0
25290,0
25293,0
25295,0
25297,0
25299,0
25307,0
25312,0
25317,0
25320,0
25322,0
25324,0
25326,0
25328,0
25335,0
25339,0
25368,0
25372,0
25377,0
25386,0
25394,0
25398,0
25402,0
25407,0
25426,0
25430,0
25436,0
25438,0
25473,0
25483,0
25486,0
25488,0
25489,0
25491,0
25506,0
25513,0
25518,0
25524,0
25530,0
25535,0
25572,0
25580,0
25592,0
25594,0
25596,0
25599,0
25612,0
25645,0
25649,0
25653,0
25658,0
25662,0
25718,0
25736,0
25740,0
25743,0
25745,0
25754,0
25758,0
25769,0
25772,0
25777,0
25779,0
25781,0
25785,0
25793,0
25797,0
25799,0
25805,0
25807,0
25815,0
25817,0
25823,0
25839,0
25841,0
25843,0
25845,0
25851,0
25862,0
25867,0
25871,0
25873,0
25875,0
25878,0
25885,0
25898,0
25899,0
27001,0
27006,0
27025,0
27050,0
27073,0
27075,0
27077,0
27099,0
27135,1
27150,0
27160,0
27205,0
27245,0
27250,0
27361,0
27372,0
27413,0
27425,0
27430,0
27450,0
27491,0
27495,0
27580,0
27600,0
27615,0
27660,0
27745,0
27787,0
27800,0
27810,0
41001,0
41006,0
41013,0
41016,0
41020,0
41026,0
41078,0
41132,0
41206,0
41244,0
41298,0
41306,0
41319,0
41349,0
41357,0
41359,0
41378,0
41396,0
41483,0
41503,0
41518,0
41524,0
41530,0
41548,0
41551,0
41615,0
41660,0
41668,0
41676,0
41770,0
41791,0
41797,0
41799,0
41801,0
41807,0
41872,0
41885,0
44001,0
44035,0
44078,0
44090,0
44098,0
44110,0
44279,0
44378,0
44420,0
44430,0
44560,0
44650,0
44847,0
44855,0
44874,0
47001,0
47030,0
47053,0
47058,0
47161,0
47170,0
47189,0
47205,0
47245,0
47258,0
47268,0
47288,0
47318,0
47460,0
47541,0
47545,0
47551,0
47555,0
47570,0
47605,0
47660,0
47675,0
47692,0
47703,0
47707,0
47720,0
47745,0
47798,0
47960,0
47980,0
50001,0
50006,0
50110,0
50124,0
50150,0
50223,0
50226,0
50245,0
50251,0
50270,0
50287,0
50313,0
50318,0
50325,0
50330,0
50350,0
50370,0
50400,0
50450,0
50568,0
50573,0
50577,0
50590,0
50606,0
50680,0
50683,0
50686,0
50689,0
50711,0
52001,0
52019,0
52022,0
52036,0
52051,0
52079,0
52083,0
52110,0
52203,0
52207,0
52210,0
52215,0
52224,0
52227,0
52233,0
52240,0
52250,0
52254,0
52256,0
52258,0
52260,0
52287,0
52317,0
52320,0
52323,0
52352,0
52354,0
52356,0
52378,0
52381,0
52385,0
52390,0
52399,0
52405,0
52411,0
52418,0
52427,0
52435,0
52473,0
52480,0
52490,0
52506,0
52520,0
52540,0
52560,0
52565,0
52573,0
52585,0
52612,0
52621,0
52678,0
52683,0
52685,0
52687,0
52693,0
52694,0
52696,0
52699,0
52720,0
52786,0
52788,0
52835,0
52838,0
52885,0
54001,0
54003,0
54051,0
54099,0
54109,0
54125,0
54128,0
54172,0
54174,0
54206,0
54223,0
54239,0
54245,0
54250,0
54261,0
54313,0
54344,0
54347,0
54377,0
54385,0
54398,0
54405,0
54418,0
54480,0
54498,0
54518,0
54520,0
54553,0
54599,0
54660,0
54670,0
54673,0
54680,0
54720,0
54743,0
54800,0
54810,0
54820,0
54871,0
54874,0
63001,0
63111,0
63130,0
63190,0
63212,0
63272,0
63302,0
63401,0
63470,0
63548,0
63594,0
63690,0
66001,0
66045,0
66075,0
66088,0
66170,0
66318,0
66383,0
66400,0
66440,0
66456,0
66572,0
66594,0
66682,0
66687,0
68001,0
68013,0
68020,0
68051,0
68077,0
68079,0
68081,0
68092,0
68101,0
68121,0
68132,0
68147,0
68152,0
68160,0
68162,0
68167,0
68169,0
68176,0
68179,0
68190,0
68207,0
68209,0
68211,0
68217,0
68229,0
68235,0
68245,0
68250,0
68255,0
68264,0
68266,0
68271,0
68276,0
68296,0
68298,0
68307,0
68318,0
68320,0
68322,0
68324,0
68327,0
68344,0
68368,0
68370,0
68377,0
68385,0
68397,0
68406,0
68418,0
68425,0
68432,0
68444,0
68464,0
68468,0
68498,0
68500,0
68502,0
68522,0
68524,0
68533,0
68547,0
68549,0
68572,0
68573,0
68575,0
68615,0
68655,0
68669,0
68673,0
68679,0
68682,0
68684,0
68686,0
68689,0
68705,0
68720,0
68745,0
68755,0
68770,0
68773,0
68780,0
68820,0
68855,0
68861,0
68867,0
68872,0
68895,0
70001,0
70110,0
70124,0
70204,0
70215,0
70221,0
70230,0
70233,0
70235,0
70265,0
70400,0
70418,0
70429,0
70473,0
70508,0
70523,0
70670,0
70678,0
70702,0
70708,0
70713,0
70717,0
70742,0
70771,0
70820,0
70823,0
73001,1
73024,0
73026,0
73030,0
73043,0
73055,0
73067,0
73124,0
73148,0
73152,0
73168,0
73200,0
73217,0
73226,0
73236,0
73268,0
73270,0
73275,0
73283,0
73319,0
73347,0
73349,0
73352,0
73408,0
73411,0
73443,0
73449,0
73461,0
73483,0
73504,0
73520,0
73547,0
73555,1
73563,0
73585,0
73616,0
73622,0
73624,0
73671,0
73675,0
73678,0
73686,0
73770,0
73854,0
73861,0
73870,0
73873,0
76001,0
76020,0
76036,0
76041,0
76054,0
76100,0
76109,0
76111,0
76113,0
76122,0
76126,0
76130,0
76147,0
76233,0
76243,0
76246,0
76248,0
76250,0
76275,0
76306,0
76318,0
76364,0
76377,0
76400,0
76403,0
76497,0
76520,0
76563,0
76606,0
76616,0
76622,0
76670,0
76736,0
76823,0
76828,1
76834,0
76845,0
76863,0
76869,0
76890,0
76892,0
76895,0
81001,0
81065,0
81220,0
81300,0
81591,0
81736,0
81794,0
85001,0
85010,0
85015,0
85125,0
85136,0
85139,0
85162,0
85225,0
85230,0
85250,0
85263,0
85279,0
85300,0
85315,0
85325,0
85400,0
85410,0
85430,0
85440,0
86001,0
86219,0
86320,0
86568,0
86569,0
86571,0
86573,0
86749,0
86755,0
86757,0
86760,0
86865,0
86885,0
88001,0
88564,0
91001,0
91263,0
91405,0
91407,0
91430,0
91460,0
91530,0
91536,0
91540,0
91669,0
91798,0
94001,0
94343,0
94663,0
94883,0
94884,0
94885,0
94886,0
94887,0
94888,0
95001,0
95015,0
95025,0
95200,0
97001,0
97161,0
97511,0
97666,0
97777,0
97889,0
99001,0
99524,0
99624,0
99773,0
