DANE,Contributivo
05001,1663881
05002,2524
05004,223
05021,548
05030,12432
05031,5514
05034,8348
05036,1424
05038,828
05040,1895
05042,7010
05044,902
05045,85933
05051,3446
05055,517
05059,1052
05079,15384
05086,991
05088,211254
05091,569
05093,1235
05101,6435
05107,533
05113,707
05120,713
05125,436
05129,53711
05134,680
05138,1336
05142,1015
05145,758
05147,18989
05148,16943
05150,1456
05154,24317
05172,24912
05190,2725
05197,1681
05206,608
05209,3906
05212,34261
05234,1212
05237,10923
05240,1626
05250,6478
05264,5613
05266,114602
05282,6749
05284,2773
05306,387
05308,28445
05310,2447
05313,1170
05315,2059
05318,14019
05321,2158
05347,813
05353,737
05360,198159
05361,1726
05364,2425
05368,3959
05376,37725
05380,12603
05390,2440
05400,8359
05411,1159
05425,1341
05440,23475
05467,892
05475,109
05480,1477
05483,693
05490,4181
05495,1027
05501,159
05541,3391
05543,392
05576,1263
05579,16974
05585,4811
05591,436
05604,2509
05607,7522
05615,89065
05628,756
05631,24925
05642,2048
05647,568
05649,2374
05652,364
05656,3842
05658,1075
05659,1270
05660,2423
05664,11402
05665,2324
05667,2765
05670,3090
05674,1921
05679,5804
05686,14586
05690,1296
05697,8518
05736,11426
05756,4893
05761,2773
05789,4116
05790,2367
05792,1383
05809,3401
05819,387
05837,23510
05842,443
05847,3384
05854,875
05856,1288
05858,1401
05861,3832
05873,235
05885,826
05887,12501
05890,2218
05893,760
05895,1598
08001,839836
08078,13008
08137,462
08141,322
08296,6722
08372,258
08421,1328
08433,24061
08436,1007
08520,2212
08549,79
08558,737
08560,867
08573,4742
08606,659
08634,2670
08638,21724
08675,394
08685,5291
08758,105483
08770,587
08832,534
08849,391
11001,4960290
13001,491837
13006,219
13030,11
13042,154
13052,5700
13062,76
13074,134
13140,668
13160,233
13188,203
13212,138
13222,63
13244,10319
13248,78
13268,18
13300,65
13430,22004
13433,285
13440,111
13442,1721
13458,123
13468,4686
13473,260
13490,0
13549,236
13580,92
13600,381
13620,122
13647,517
13650,86
13654,3624
13655,63
13657,2449
13667,200
13670,1323
13673,421
13683,847
13688,2025
13744,605
13760,379
13780,66
13810,137
13836,17420
13838,1101
13873,675
13894,2141
15001,102370
15022,26
15047,759
15051,115
15087,823
15090,3
15092,116
15097,336
15104,143
15106,34
15109,30
15114,23
15131,132
15135,39
15162,213
15172,41
15176,26844
15180,47
15183,39
15185,21
15187,32
15189,84
15204,207
15212,115
15215,439
15218,72
15223,471
15224,99
15226,57
15232,29
15236,8
15238,67167
15244,840
15248,34
15272,961
15276,156
15293,22
15296,318
15299,5783
15317,26
15322,4362
15325,189
15332,382
15362,188
15367,86
15368,113
15377,53
15380,33
15401,7
15403,153
15407,5198
15425,82
15442,33
15455,2150
15464,232
15466,2079
15469,5945
15476,45
15480,1403
15491,4357
15494,46
15500,98
15507,1416
15511,52
15514,15
15516,12493
15518,47
15522,4
15531,525
15533,10
15537,1952
15542,478
15550,13
15572,14947
15580,9
15599,1883
15600,246
15621,125
15632,210
15638,9
15646,9536
15660,6
15664,105
15667,861
15673,88
15676,201
15681,18
15686,719
15690,1035
15693,788
15696,28
15720,105
15723,179
15740,59
15753,3205
15755,1995
15757,3339
15759,76815
15761,59
15762,27
15763,735
15764,79
15774,25
15776,82
15778,60
15790,1018
15798,346
15804,124
15806,1401
15808,29
15810,24
15814,2027
15816,34
15820,583
15822,153
15832,25
15835,703
15837,344
15839,30
15842,242
15861,1695
15879,43
15897,56
17001,272834
17013,2682
17042,6085
17050,1787
17088,1300
17174,17407
17272,700
17380,31192
17388,421
17433,2400
17442,1376
17444,870
17446,149
17486,2642
17495,20
17513,1533
17524,2129
17541,3202
17614,5625
17616,1223
17653,3421
17662,769
17665,292
17777,3964
17867,861
17873,8121
17877,4364
18001,51513
18029,219
18094,1069
18150,1288
18205,462
18247,2659
18256,1307
18410,406
18460,190
18479,202
18592,1994
18610,474
18753,3766
18756,291
18785,289
18860,361
19001,130225
19022,253
19050,194
19075,495
19100,925
19110,559
19130,651
19137,342
19142,6449
19212,4894
19256,1195
19290,211
19300,0
19318,3033
19355,865
19364,225
19392,352
19397,493
19418,373
19450,451
19455,8715
19473,503
19513,1308
19517,659
19532,3501
19533,44
19548,3791
19573,29933
19585,483
19622,328
19693,148
19698,34523
19701,83
19743,774
19760,227
19780,543
19785,47
19807,2862
19809,872
19821,689
19824,290
19845,2461
20001,165437
20011,24251
20013,15422
20032,531
20045,967
20060,6614
20175,871
20178,2964
20228,2490
20238,5449
20250,7328
20295,259
20310,17
20383,829
20400,10327
20443,309
20517,1070
20550,455
20570,134
20614,126
20621,1161
20710,11955
20750,452
20770,3891
20787,656
23001,159996
23068,3080
23079,1994
23090,540
23162,24611
23168,164
23182,3806
23189,4268
23300,111
23350,319
23417,19185
23419,171
23464,149
23466,23615
23500,338
23555,17631
23570,1982
23574,390
23580,1704
23586,162
23660,15439
23670,2528
23672,1074
23675,2100
23678,296
23682,0
23686,1757
23807,7824
23815,0
23855,2026
25001,55015
25019,387
25035,1080
25040,1529
25053,1515
25086,73
25095,74
25099,2824
25120,212
25123,1038
25126,28014
25148,310
25151,2798
25154,463
25168,109
25175,62698
25178,584
25181,954
25183,6169
25200,6355
25214,11167
25224,1814
25245,4616
25258,74
25260,6948
25269,77845
25279,1732
25281,333
25286,34590
25288,267
25290,51709
25293,303
25295,5888
25297,1800
25299,181
25307,63409
25312,318
25317,3245
25320,4639
25322,6806
25324,51
25326,1401
25328,141
25335,184
25339,96
25368,89
25372,440
25377,9105
25386,14010
25394,753
25398,87
25402,3058
25407,1403
25426,505
25430,43260
25436,166
25438,1047
25473,28644
25483,89
25486,4285
25488,623
25489,140
25491,627
25506,112
25513,4674
25518,67
25524,156
25530,168
25535,403
25572,543
25580,64
25592,236
25594,174
25596,141
25599,698
25612,908
25645,429
25649,487
25653,91
25658,1150
25662,440
25718,1933
25736,4195
25740,9547
25743,1709
25745,2346
25754,77162
25758,13738
25769,8081
25772,8932
25777,190
25779,239
25781,1394
25785,7396
25793,1391
25797,267
25799,9857
25805,126
25807,41
25815,1667
25817,20876
25823,19
25839,564
25841,256
25843,31243
25845,542
25851,319
25862,332
25867,90
25871,64
25873,2601
25875,9021
25878,602
25885,447
25898,465
25899,81829
27001,30178
27006,844
27025,61
27050,119
27073,111
27075,186
27077,97
27099,32
27135,94
27150,17
27160,14
27205,1365
27245,478
27250,41
27361,3430
27372,23
27413,78
27425,3
27430,13
27450,35
27491,91
27495,96
27580,7
27600,41
27615,623
27660,105
27745,41
27787,473
27800,711
27810,129
41001,181128
41006,218
41013,538
41016,2119
41020,433
41026,168
41078,416
41132,6650
41206,316
41244,92
41298,15187
41306,3470
41319,1202
41349,180
41357,516
41359,563
41378,558
41396,10205
41483,99
41503,268
41518,191
41524,1819
41530,155
41548,554
41551,29922
41615,1680
41660,248
41668,1510
41676,440
41770,909
41791,857
41797,1005
41799,425
41801,444
41807,955
41872,335
41885,1863
44001,60591
44035,5536
44078,7956
44090,1155
44098,337
44110,537
44279,10267
44378,3911
44420,44
44430,27404
44560,1091
44650,10472
44847,2892
44855,1270
44874,5264
47001,234825
47030,3007
47053,10080
47058,538
47161,145
47170,581
47189,38800
47205,17
47245,4352
47258,148
47268,621
47288,23911
47318,598
47460,10
47541,65
47545,118
47551,1662
47555,9932
47570,385
47605,73
47660,393
47675,83
47692,271
47703,64
47707,567
47720,277
47745,326
47798,79
47960,3
47980,9158
50001,227097
50006,29600
50110,185
50124,204
50150,2431
50223,271
50226,9766
50245,98
50251,103
50270,303
50287,1076
50313,17638
50318,1145
50325,168
50330,335
50350,340
50370,78
50400,177
50450,62
50568,5853
50573,7400
50577,482
50590,285
50606,3798
50680,2408
50683,259
50686,86
50689,9223
50711,435
52001,165041
52019,156
52022,61
52036,186
52051,68
52079,925
52083,144
52110,381
52203,209
52207,162
52210,26
52215,74
52224,24
52227,205
52233,137
52240,266
52250,111
52254,11
52256,131
52258,139
52260,265
52287,58
52317,126
52320,57
52323,25
52352,43
52354,43
52356,25834
52378,716
52381,82
52385,97
52390,13
52399,2988
52405,140
52411,124
52418,137
52427,64
52435,39
52473,130
52480,32
52490,122
52506,25
52520,13
52540,178
52560,39
52565,59
52573,124
52585,173
52612,174
52621,17
52678,2413
52683,703
52685,69
52687,153
52693,849
52694,56
52696,20
52699,42
52720,15
52786,140
52788,131
52835,27115
52838,7655
52885,124
54001,321556
54003,444
54051,207
54099,259
54109,106
54125,8
54128,224
54172,703
54174,70
54206,338
54223,87
54239,102
54245,280
54250,63
54261,1013
54313,484
54344,80
54347,103
54377,103
54385,142
54398,64
54405,9430
54418,64
54480,27
54498,30933
54518,21165
54520,72
54553,52
54599,79
54660,255
54670,90
54673,166
54680,101
54720,1078
54743,19
54800,133
54810,6119
54820,826
54871,118
54874,5576
63001,157839
63111,254
63130,20163
63190,4687
63212,508
63272,2053
63302,806
63401,7702
63470,7890
63548,937
63594,8295
63690,1070
66001,306586
66045,1772
66075,681
66088,4158
66170,79294
66318,845
66383,672
66400,15885
66440,2897
66456,826
66572,533
66594,1544
66682,29105
66687,2380
68001,452271
68013,83
68020,44
68051,395
68077,12376
68079,254
68081,95212
68092,297
68101,395
68121,34
68132,866
68147,176
68152,60
68160,81
68162,384
68167,938
68169,123
68176,153
68179,134
68190,4359
68207,181
68209,69
68211,833
68217,50
68229,370
68235,910
68245,106
68250,95
68255,2040
68264,23
68266,77
68271,70
68276,112784
68296,144
68298,80
68307,47536
68318,196
68320,690
68322,104
68324,109
68327,348
68344,34
68368,99
68370,10
68377,283
68385,610
68397,219
68406,11869
68418,1482
68425,56
68432,7082
68444,265
68464,654
68468,56
68498,73
68500,1689
68502,226
68522,42
68524,60
68533,89
68547,49067
68549,135
68572,2091
68573,154
68575,13577
68615,2804
68655,6298
68669,458
68673,58
68679,36454
68682,69
68684,107
68686,35
68689,6754
68705,31
68720,57
68745,356
68755,13879
68770,824
68773,224
68780,284
68820,111
68855,163
68861,5024
68867,615
68872,159
68895,1451
70001,102490
70110,175
70124,240
70204,32
70215,16132
70221,456
70230,9
70233,5
70235,297
70265,206
70400,493
70418,811
70429,1223
70473,303
70508,1645
70523,166
70670,2589
70678,290
70702,204
70708,4333
70713,3099
70717,1608
70742,2854
70771,469
70820,8820
70823,1512
73001,291531
73024,253
73026,554
73030,2115
73043,226
73055,1204
73067,545
73124,2381
73148,788
73152,143
73168,9298
73200,219
73217,581
73226,262
73236,344
73268,35582
73270,280
73275,3211
73283,4400
73319,1897
73347,63
73349,9074
73352,455
73408,5086
73411,7377
73443,11073
73449,15268
73461,113
73483,422
73504,1008
73520,245
73547,733
73555,584
73563,649
73585,2934
73616,165
73622,297
73624,694
73671,981
73675,394
73678,289
73686,619
73770,95
73854,138
73861,1505
73870,278
73873,155
76001,1370049
76020,1945
76036,5584
76041,3087
76054,635
76100,1532
76109,84668
76111,69341
76113,7649
76122,9179
76126,3804
76130,34299
76147,69046
76233,6760
76243,665
76246,603
76248,23340
76250,942
76275,28037
76306,6133
76318,12969
76364,40237
76377,1356
76400,8883
76403,3653
76497,2451
76520,167518
76563,22578
76606,4366
76616,3421
76622,11652
76670,3713
76736,8939
76823,2463
76828,1830
76834,103965
76845,734
76863,1231
76869,2148
76890,3375
76892,44152
76895,20714
81001,22346
81065,1785
81220,229
81300,418
81591,191
81736,6910
81794,3678
85001,55134
85010,8923
85015,88
85125,575
85136,69
85139,2155
85162,2940
85225,481
85230,1165
85250,3169
85263,614
85279,101
85300,535
85315,98
85325,546
85400,661
85410,5079
85430,973
85440,12232
86001,11407
86219,124
86320,6764
86568,11038
86569,284
86571,368
86573,1060
86749,2909
86755,84
86757,487
86760,97
86865,2085
86885,1196
88001,30180
88564,1185
91001,11000
91540,82
94001,2834
95001,9565
95015,370
95025,466
95200,175
97001,1924
97161,38
97666,0
99001,4201
99524,9
99624,2
99773,402
