dane,ipm
05001,32.4
05002,66.5
05004,52.53
05021,60.09
05030,46.56
05031,68.39
05034,63.7
05036,67.06
05038,80.33
05040,74.28
05042,60.45
05044,79.6
05045,52.43
05051,82.56
05055,70.82
05059,78.23
05079,47
05086,67.2
05088,31.31
05091,72.69
05093,75.44
05101,63.26
05107,81.65
05113,82.22
05120,88.7
05125,77.93
05129,28.69
05134,78.06
05138,76.92
05142,58.5
05145,59.11
05147,63.85
05148,41.57
05150,41.63
05154,71.41
05172,66.1
05190,51.12
05197,72.18
05206,59.65
05209,73.02
05212,28.96
05234,81.14
05237,53.5
05240,65.86
05250,77.41
05264,46.97
05266,14.27
05282,56.78
05284,65.82
05306,63.74
05308,36.63
05310,69.05
05313,61.51
05315,78.68
05318,41.21
05321,40.88
05347,69.61
05353,62.68
05360,23.14
05361,80.73
05364,57.02
05368,58.44
05376,35.15
05380,26.38
05390,60.14
05400,48.57
05411,67.08
05425,61.39
05440,44.95
05467,62.25
05475,95.14
05480,80.76
05483,74.44
05490,87.15
05495,86.1
05501,67.99
05541,56.1
05543,89.48
05576,66.55
05579,63.54
05585,67.77
05591,80.81
05604,71.2
05607,33.62
05615,26.84
05628,82.78
05631,18.09
05642,75.65
05647,64.5
05649,60.2
05652,76.33
05656,62.31
05658,53.56
05659,83.5
05660,62.92
05664,50.11
05665,87.1
05667,64.8
05670,68.61
05674,72.1
05679,62.49
05686,59.44
05690,63.7
05697,57.46
05736,69.16
05756,61.48
05761,60.25
05789,59.49
05790,86.26
05792,73.08
05809,66.95
05819,75.11
05837,78.22
05842,83.67
05847,68.14
05854,82.27
05856,55.73
05858,73.27
05861,60.02
05873,98.55
05885,70.58
05887,52.41
05890,70.25
05893,79.18
05895,79.9
08001,37.2
08078,72.92
08137,86.64
08141,91.66
08296,78.3
08372,68.77
08421,89.45
08433,62.5
08436,81.35
08520,64.39
08549,81.85
08558,83.34
08560,90.02
08573,42.34
08606,79.42
08634,61.53
08638,60.8
08675,84.24
08685,54.65
08758,45.41
08770,90.06
08832,67.98
08849,78.34
11001,24.3
13001,42.58
13006,92.56
13030,93.49
13042,88.03
13052,79.27
13062,96.76
13074,91.36
13140,91.85
13160,74.37
13188,85.8
13212,86.29
13222,86.32
13244,86.71
13248,84.65
13268,90.3
13300,94.8
13430,72.98
13433,80.18
13440,96.38
13442,87.1
13458,91.12
13468,74.54
13473,85.06
13549,91.72
13580,88.23
13600,87.12
13620,86.68
13647,81.22
13650,92.15
13654,81.9
13655,91.44
13657,83.22
13667,87.98
13670,84.03
13673,79.27
13683,88.99
13688,76.29
13744,81.76
13760,66.58
13780,80.28
13810,94.97
13836,62.98
13838,80.69
13873,90.18
13894,84.86
15001,32.17
15022,65.36
15047,66.97
15051,62.41
15087,56.24
15090,59.78
15092,80.56
15097,68.31
15104,85.21
15106,72.07
15109,74.84
15114,65.36
15131,73.74
15135,78.69
15162,63.12
15172,64.4
15176,46.77
15180,78.36
15183,84.26
15185,81.67
15187,85.24
15189,79.96
15204,69.44
15212,77.26
15215,46.28
15218,84.63
15223,78.79
15224,74.69
15226,76.39
15232,86.36
15236,65.07
15238,27.52
15244,63.48
15248,65.53
15272,53.56
15276,64.95
15293,82.62
15296,67.71
15299,47.31
15317,67.82
15322,42.65
15325,58.69
15332,77.74
15362,50.53
15367,73.21
15368,81.22
15377,78.44
15380,47.56
15401,75.11
15403,66.17
15407,44.91
15425,66.59
15442,80.18
15455,53.59
15464,67.01
15466,58.01
15469,60.76
15476,83.68
15480,69.91
15491,32.3
15494,72.52
15500,67.55
15507,79.2
15511,62.01
15514,69.29
15516,41.81
15518,65.71
15522,61.11
15531,85.02
15533,88.63
15537,43.41
15542,71.62
15550,80.99
15572,63.95
15580,74.1
15599,63
15600,80.82
15621,79.72
15632,85.68
15638,67.27
15646,66.84
15660,62.38
15664,85.87
15667,70.43
15673,67.08
15676,70.95
15681,83.52
15686,76.42
15690,60.84
15693,46.82
15696,64.46
15720,70.69
15723,54.9
15740,79.24
15753,48.23
15755,82.05
15757,51.38
15759,30.49
15761,60.16
15762,81.71
15763,74.69
15764,87.96
15774,68.11
15776,62.73
15778,69.67
15790,62.28
15798,62.03
15804,76.59
15806,48.52
15808,69.69
15810,75.87
15814,61.39
15816,82.04
15820,56.15
15822,84.26
15832,67.83
15835,63.73
15837,69.71
15839,80
15842,80.15
15861,77.38
15879,69.85
15897,67.85
17001,29.56
17013,59.22
17042,63.81
17050,58.89
17088,65.99
17174,42.37
17272,72.72
17380,50.84
17388,63.82
17433,63.81
17442,64.4
17444,75.67
17446,56.35
17486,64.79
17495,70.52
17513,59.49
17524,63.2
17541,62.9
17614,55.26
17616,70.92
17653,55.82
17662,70.19
17665,71.86
17777,55.89
17867,64.04
17873,42.41
17877,60.18
18001,55.91
18029,72.08
18094,79.18
18150,88.54
18205,78.95
18247,72.85
18256,82.81
18410,88.62
18460,87.52
18479,77.02
18592,73.31
18610,76.1
18753,78.96
18756,91.76
18785,86.62
18860,80.2
19001,41.05
19022,93.1
19050,100
19075,87.29
19100,84.04
19110,82.28
19130,90.69
19137,87.1
19142,74.02
19212,78.34
19256,83.33
19290,83.04
19318,86.14
19355,89.38
19364,92.48
19392,76.6
19397,91.74
19418,87.85
19450,82.36
19455,67.74
19473,89
19513,63.86
19517,86.39
19532,64.49
19533,91.78
19548,72.05
19573,52.24
19585,78.22
19622,77.96
19693,84.14
19698,62.57
19701,87.91
19743,77.74
19760,83.35
19780,86.04
19785,86.98
19807,60.37
19809,94.78
19821,88.39
19824,88.31
19845,63.88
20001,53.22
20011,71.3
20013,73.07
20032,84.27
20045,70.71
20060,77.67
20175,86.7
20178,71.03
20228,76.24
20238,79.13
20250,79.72
20295,79.22
20310,85.71
20383,82.16
20400,69.79
20443,64.52
20517,74.25
20550,81.67
20570,90.97
20614,74.91
20621,64.78
20710,63.04
20750,63.51
20770,79.49
20787,81.99
23001,68.46
23068,88.14
23079,86.59
23090,94.54
23162,72.85
23168,89.35
23182,81.76
23189,84.83
23300,86.63
23350,86.24
23417,82.03
23419,93.87
23464,83.25
23466,72.64
23500,92.12
23555,79.64
23570,84.37
23574,92.35
23580,86.86
23586,83.86
23660,74.68
23670,93.21
23672,78.44
23675,88.25
23678,91.74
23686,86.99
23807,89.09
23855,88.14
25001,45.08
25019,61.62
25035,47.33
25040,52.91
25053,53.97
25086,60.19
25095,62.44
25099,37.29
25120,65.62
25123,50.33
25126,24.97
25148,73.17
25151,58.15
25154,68.44
25168,67.03
25175,16.46
25178,61.16
25181,55.12
25183,63.59
25200,35.83
25214,29.88
25224,60.35
25245,44.34
25258,71.57
25260,33.49
25269,23.96
25279,49.71
25281,69.95
25286,24.6
25288,53.64
25290,36.14
25293,66.59
25295,33.42
25297,62.15
25299,71.05
25307,33.4
25312,43.14
25317,60.38
25320,70.92
25322,36.74
25324,65.06
25326,55.23
25328,53.87
25335,64.63
25339,71.84
25368,66.98
25372,68.9
25377,37.91
25386,46.88
25394,62.64
25398,81.59
25402,46.35
25407,60.98
25426,74.46
25430,21.9
25436,61.13
25438,74.47
25473,24.12
25483,68.16
25486,37.75
25488,52.8
25489,69.17
25491,53.42
25506,59.4
25513,55.33
25518,80.16
25524,69.79
25530,68.07
25535,59.2
25572,53.1
25580,72.63
25592,64.63
25594,66.87
25596,65.2
25599,58.14
25612,54.31
25645,48.9
25649,57.45
25653,68.17
25658,59.21
25662,59.76
25718,51.89
25736,39.12
25740,42.3
25743,56.57
25745,47.05
25754,35.92
25758,26.24
25769,35.67
25772,41.41
25777,59.76
25779,63.76
25781,46.26
25785,35.76
25793,59.78
25797,52.97
25799,31.95
25805,67.89
25807,57.42
25815,61.01
25817,31.95
25823,81.33
25839,78.03
25841,66.27
25843,41.52
25845,58.21
25851,63.02
25862,70.91
25867,63.08
25871,67.15
25873,67.63
25875,42.83
25878,63.38
25885,78.26
25898,52.55
25899,30.35
27001,72.1
27006,73.93
27025,97.83
27050,98.66
27073,96.95
27075,80.19
27077,95.75
27099,97.32
27135,97.17
27150,97.07
27160,91.42
27205,84.76
27245,80.21
27250,96.57
27361,86.34
27372,98.85
27413,90.65
27425,100
27430,96.93
27450,91.19
27491,98.39
27495,81.72
27580,98.41
27600,95.57
27615,91.45
27660,85.39
27745,90.06
27787,79.29
27800,96.25
27810,97.96
41001,34.61
41006,85.92
41013,71.29
41016,70.98
41020,76.1
41026,49.47
41078,61.5
41132,61.5
41206,78.68
41244,62.78
41298,63.89
41306,64.12
41319,69.44
41349,68.1
41357,67.7
41359,76.91
41378,71.02
41396,69.24
41483,69.38
41503,83.92
41518,65.45
41524,65
41530,77.89
41548,72.87
41551,64.54
41615,65.51
41660,83.12
41668,66.81
41676,76.43
41770,73.45
41791,72.34
41797,56.42
41799,78.09
41801,71.97
41807,66.4
41872,65.34
41885,50.02
44001,66.88
44035,77.38
44078,71.18
44090,85.43
44098,80.81
44110,75.95
44279,66.82
44378,76.53
44420,70.32
44430,83.3
44560,94.6
44650,69.58
44847,97.63
44855,74.76
44874,64.84
47001,48.56
47030,85.39
47053,82.87
47058,87.71
47161,88.26
47170,88.21
47189,68.96
47205,91.8
47245,82.56
47258,82.66
47268,87.82
47288,68.4
47318,85.02
47460,94.31
47541,90.76
47545,89.6
47551,76.98
47555,77.31
47570,84.75
47605,84.6
47660,93.76
47675,84.2
47692,87.98
47703,93.78
47707,89.94
47720,90.71
47745,93.67
47798,80.29
47960,94.18
47980,83.28
50001,40.88
50006,48.47
50110,59.31
50124,74.02
50150,53.46
50223,62.3
50226,48.48
50245,63.82
50251,76.09
50270,57.64
50287,72.68
50313,59.49
50318,45.89
50325,97.58
50330,68.51
50350,74.37
50370,93.82
50400,74.13
50450,87.78
50568,80.46
50573,61.15
50577,85.64
50590,77.85
50606,46.74
50680,61.98
50683,73.44
50686,64.87
50689,60
50711,77
52001,42.01
52019,76.8
52022,61.79
52036,60.31
52051,91.86
52079,88.91
52083,58.82
52110,86.01
52203,82.23
52207,67.26
52210,67.92
52215,80.14
52224,78.23
52227,70.59
52233,85.27
52240,74.05
52250,99.05
52254,80.1
52256,85.79
52258,83.62
52260,61.38
52287,73.13
52317,70.96
52320,67.4
52323,65.19
52352,73.08
52354,70.81
52356,60.69
52378,87.33
52381,66.77
52385,60.22
52390,91.47
52399,74.18
52405,86.12
52411,68.24
52418,81.55
52427,98.86
52435,74.41
52473,96.47
52480,71.14
52490,97.3
52506,77.85
52520,92.19
52540,80.83
52560,67.59
52565,85.69
52573,67.56
52585,75.47
52612,84.39
52621,97.91
52678,72.12
52683,65.96
52685,84.87
52687,84.69
52693,64.94
52694,79.39
52696,96.01
52699,82.92
52720,67.64
52786,80.28
52788,72.58
52835,84.5
52838,68.51
52885,71.22
54001,50.59
54003,81.49
54051,80.34
54099,61.25
54109,88.29
54125,62.93
54128,77.6
54172,61.27
54174,77.84
54206,73.17
54223,76.61
54239,63.17
54245,84.16
54250,91.96
54261,72.57
54313,65.59
54344,93.46
54347,69.86
54377,74.21
54385,85.16
54398,82.29
54405,47.29
54418,66.91
54480,69.16
54498,52.25
54518,37.76
54520,68.62
54553,71.61
54599,75.85
54660,76.36
54670,89.21
54673,69.14
54680,67.55
54720,83.09
54743,72.89
54800,88.38
54810,85.15
54820,74.19
54871,83.5
54874,56.69
63001,34.31
63111,57.15
63130,40.59
63190,40.9
63212,60.4
63272,57.34
63302,67.25
63401,53.06
63470,56.53
63548,59.36
63594,52.85
63690,52.76
66001,33.66
66045,61.89
66075,70.47
66088,62.09
66170,33.54
66318,63.05
66383,67.88
66400,48.29
66440,61.52
66456,70.11
66572,81.76
66594,69.95
66682,45.55
66687,62.75
68001,28.49
68013,70.98
68020,77.65
68051,78.18
68077,47.52
68079,50.01
68081,43.3
68092,72.61
68101,78.66
68121,58.59
68132,39.99
68147,56.72
68152,75.08
68160,70.08
68162,65.54
68167,51.55
68169,67.75
68176,74.14
68179,74.53
68190,70.71
68207,59.47
68209,65.03
68211,53.13
68217,70.19
68229,63.19
68235,77.42
68245,74.68
68250,85.85
68255,74.16
68264,67.8
68266,66.27
68271,79.67
68276,27.98
68296,64.77
68298,80.94
68307,45.85
68318,71.27
68320,68
68322,51.51
68324,67.77
68327,63.5
68344,70.85
68368,67.43
68370,72.11
68377,74.59
68385,81.49
68397,73.35
68406,60.61
68418,70.82
68425,80.73
68432,41.8
68444,67.68
68464,79.51
68468,74.74
68498,60.55
68500,74.03
68502,75.87
68522,64.68
68524,61.99
68533,57.07
68547,42.37
68549,54.29
68572,64.51
68573,73.79
68575,68.17
68615,71.61
68655,64.66
68669,55.92
68673,76.27
68679,32.39
68682,70.77
68684,73.56
68686,71.22
68689,64.29
68705,71.4
68720,83.22
68745,77.6
68755,37.42
68770,64.63
68773,76.11
68780,67.66
68820,71.34
68855,56.85
68861,61.59
68867,47.24
68872,50.38
68895,58.54
70001,54.53
70110,78.29
70124,87.71
70204,84.65
70215,63.5
70221,77.05
70230,90.05
70233,88.68
70235,76.63
70265,91.86
70400,82.91
70418,79.48
70429,90.82
70473,76.82
70508,81.47
70523,89.05
70670,84.47
70678,90.95
70702,76.65
70708,86.31
70713,86.77
70717,84.56
70742,75.08
70771,91.15
70820,72.4
70823,80.38
73001,34.97
73024,60.49
73026,69.06
73030,73.49
73043,84.78
73055,70.99
73067,80.86
73124,66.77
73148,51.4
73152,76.6
73168,69.61
73200,78.53
73217,87.76
73226,67.78
73236,70.21
73268,55.27
73270,72.36
73275,47.71
73283,63.66
73319,80.82
73347,71.12
73349,43.02
73352,62.74
73408,52.76
73411,58.87
73443,48.76
73449,33.43
73461,83.44
73483,73.71
73504,81.92
73520,78.18
73547,61.85
73555,80.71
73563,68.2
73585,64.92
73616,88.05
73622,77.08
73624,74.26
73671,62.27
73675,75.37
73678,74.3
73686,72.53
73770,72.57
73854,78.57
73861,72.87
73870,72.79
73873,65.16
76001,31.97
76020,55.73
76036,45.84
76041,72.11
76054,66.02
76100,57.66
76109,66.53
76111,31.36
76113,44.03
76122,47.38
76126,48.67
76130,39.5
76147,45.74
76233,63.05
76243,64.58
76246,78.09
76248,33.55
76250,62.41
76275,46.19
76306,43.5
76318,36.02
76364,35.98
76377,51.68
76400,63.27
76403,46.35
76497,64.38
76520,29.82
76563,47.97
76606,50.92
76616,60.81
76622,37.93
76670,42.08
76736,48.02
76823,75.77
76828,63.28
76834,36.26
76845,62.82
76863,57.83
76869,46.43
76890,54.47
76892,41.75
76895,36.31
81001,49.56
81065,71.14
81220,68.92
81300,70.41
81591,67.06
81736,68.33
81794,61.15
85001,41.59
85010,54.78
85015,61.62
85125,79.92
85136,71.78
85139,70.27
85162,49.99
85225,83.47
85230,79.49
85250,66.64
85263,75.53
85279,79.92
85300,57.85
85315,64.24
85325,80.13
85400,82.73
85410,54.01
85430,79.39
85440,53.92
86001,52.58
86219,55.53
86320,76.32
86568,73.84
86569,83.57
86571,93.88
86573,93.7
86749,59.29
86755,71.27
86757,86.56
86760,81.15
86865,90.58
86885,94.48
88001,37.18
88564,42.36
91001,66.26
91263,85.51
91405,86.29
91407,83.57
91460,100
91530,100
91536,93.3
91540,92.43
91669,83.72
91798,91.28
94001,75.61
94343,95.72
94883,86.17
94884,98.18
94885,96.46
94886,90.83
95001,69.84
95015,86.84
95025,96.65
95200,80.75
97001,75.31
97161,92.2
97666,89.95
97777,100
97889,93.17
99001,68.07
99524,90.97
99624,90.24
99773,90.49
